PID,USER,PR,NI,VIRT,RES,SHR,S,%CPU,%MEM,TIME+,COMMAND
41,root,rt,0,0,0,0,S,0.0,0.0,0:02.08,migrati+
42,root,20,0,0,0,0,S,0.0,0.0,0:00.74,ksoftir+
44,root,0,-20,0,0,0,I,0.0,0.0,0:00.24,kworker+
45,root,20,0,0,0,0,S,0.0,0.0,0:00.00,cpuhp/5
46,root,-51,0,0,0,0,S,0.0,0.0,0:00.00,idle_in+
47,root,rt,0,0,0,0,S,0.0,0.0,0:02.05,migrati+
48,root,20,0,0,0,0,S,0.0,0.0,0:00.06,ksoftir+
50,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,kworker+
51,root,20,0,0,0,0,S,0.0,0.0,0:00.00,cpuhp/6
52,root,-51,0,0,0,0,S,0.0,0.0,0:00.00,idle_in+
53,root,rt,0,0,0,0,S,0.0,0.0,0:02.07,migrati+
54,root,20,0,0,0,0,S,0.0,0.0,0:00.07,ksoftir+
57,root,20,0,0,0,0,S,0.0,0.0,0:00.00,cpuhp/7
58,root,-51,0,0,0,0,S,0.0,0.0,0:00.00,idle_in+
59,root,rt,0,0,0,0,S,0.0,0.0,0:02.05,migrati+
60,root,20,0,0,0,0,S,0.0,0.0,0:00.12,ksoftir+
62,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,kworker+
66,root,20,0,0,0,0,I,0.0,0.0,0:02.01,kworker+
67,root,20,0,0,0,0,S,0.0,0.0,0:00.01,kdevtmp+
68,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,kworker+
69,root,20,0,0,0,0,I,0.0,0.0,0:02.12,kworker+
70,root,20,0,0,0,0,S,0.0,0.0,0:00.00,kauditd
71,root,20,0,0,0,0,I,0.0,0.0,0:01.60,kworker+
72,root,20,0,0,0,0,S,0.0,0.0,0:00.01,khungta+
73,root,20,0,0,0,0,S,0.0,0.0,0:00.00,oom_rea+
75,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,kworker+
